		FP1 - Force			FP1 - Moment			FP1 - CoP			FP2 - Force			FP2 - Moment			FP2 - CoP			Combined Force			Combined Moment			Combined CoP		
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9	4	55.9369	-0.190841	-357.977	-6636.32	-25288.5	3952.03	161.357	272.538	0	-0.247592	-3.35031	-470.201	-118.217	27930.6	-116.264	-172.599	254.251	0	55.6894	-3.54115	-828.177	-217339	-24938.3	-9601.62	-28.2474	262.156	0
9	5	56.0259	-0.190825	-357.93	-6654.91	-25292.3	3951.82	161.337	272.593	0	-0.247029	-3.20687	-470.845	-88.7621	27933	-115.865	-172.675	254.189	0	55.7789	-3.3977	-828.775	-217473	-25102.5	-9657.18	-28.422	262.137	0
9	6	56.0814	-0.190755	-357.702	-6673.6	-25280.6	3965.06	161.325	272.657	0	-0.246547	-3.14015	-470.617	-90.6717	27936.7	-115.563	-172.638	254.193	0	55.8348	-3.33091	-828.319	-217375	-25090.3	-9673.2	-28.4194	262.166	0
9	7	55.9265	-0.19139	-357.841	-6696.86	-25302.1	3942.76	161.292	272.715	0	-0.24669	-3.17428	-470.756	-115.22	27970	-115.745	-172.585	254.245	0	55.6799	-3.36567	-828.596	-217495	-25071.3	-9648.56	-28.3955	262.221	0
9	8	55.982	-0.191186	-357.657	-6701.28	-25285.7	3942.59	161.302	272.737	0	-0.246284	-3.11876	-470.482	-122.222	27982.9	-115.472	-172.523	254.26	0	55.7357	-3.30994	-828.139	-217388	-25024.3	-9675.39	-28.3507	262.24	0
9	9	55.9484	-0.190817	-357.427	-6663.7	-25288.9	3938.12	161.247	272.644	0	-0.246268	-3.0962	-470.528	-102.707	27964.3	-115.379	-172.568	254.218	0	55.7021	-3.28702	-827.955	-217283	-25108.2	-9676.32	-28.4604	262.172	0
10	0	56.0372	-0.190953	-357.656	-6682.81	-25297.4	3953.79	161.269	272.685	0	-0.246535	-3.20704	-470.342	-135.393	27959.1	-115.803	-172.556	254.288	0	55.7907	-3.39799	-827.999	-217351	-25030.2	-9658.15	-28.3594	262.235	0
10	1	55.9037	-0.190809	-357.474	-6650.14	-25287	3958.48	161.262	272.603	0	-0.246837	-3.27462	-470.709	-161.337	27984	-116.181	-172.549	254.343	0	55.6568	-3.46543	-828.183	-217393	-25115.6	-9604.22	-28.4643	262.225	0
10	2	55.9708	-0.190974	-357.747	-6672.89	-25285.2	3920.28	161.321	272.653	0	-0.246169	-3.20847	-470.894	-172.562	27980.1	-116.027	-172.581	254.366	0	55.7246	-3.39945	-828.641	-217541	-25099.8	-9674.76	-28.4263	262.261	0
10	3	55.9155	-0.191411	-357.749	-6706.13	-25287.6	3944.97	161.315	272.745	0	-0.245059	-3.14196	-470.484	-216.519	27983.2	-115.771	-172.523	254.46	0	55.6704	-3.33337	-828.233	-217512	-25001.8	-9651.42	-28.3239	262.358	0
10	4	56.0376	-0.191138	-357.793	-6696.51	-25302.1	3931.35	161.283	272.716	0	-0.245655	-3.1069	-470.206	-136.015	27939.8	-115.428	-172.58	254.289	0	55.7919	-3.29804	-828	-217361	-24991.1	-9703.6	-28.3117	262.252	0
10	5	55.9488	-0.191466	-357.795	-6701.73	-25331.1	3949.38	161.202	272.731	0	-0.246192	-3.16414	-470.758	-161.285	28002.8	-115.781	-172.516	254.343	0	55.7026	-3.3556	-828.553	-217534	-25079.6	-9650.12	-28.4058	262.283	0
