		FP1 - Force			FP1 - Moment			FP1 - CoP			FP2 - Force			FP2 - Moment			FP2 - CoP			Combined Force			Combined Moment			Combined CoP		
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
5	5	48.728	-0.369925	-356.138	-23044.2	-30962.2	1081.04	145.061	318.706	0	-0.179557	-7.29856	-472.991	-8047	30605.1	-146.514	-167.295	271.013	0	48.5484	-7.66849	-829.129	-242099	-28688.7	-9820.24	-33.1277	291.499	0
5	6	48.7835	-0.369613	-355.771	-23048.2	-30941.1	1067.29	145.031	318.784	0	-0.179204	-7.30955	-472.945	-8066.24	30586.3	-146.604	-167.328	271.055	0	48.6043	-7.67916	-828.715	-242017	-28763.4	-9845.69	-33.2313	291.545	0
5	7	48.7273	-0.369152	-355.816	-22987.8	-30924.7	1083.34	145.088	318.606	0	-0.177562	-7.04344	-472.996	-8045.82	30581.5	-145.626	-167.345	271.01	0	48.5497	-7.41259	-828.811	-241949	-28750.5	-9875.87	-33.2149	291.444	0
5	8	48.7834	-0.369436	-355.541	-23043.3	-30931.7	1064.94	145.001	318.812	0	-0.178381	-7.10997	-472.675	-8043.77	30622.2	-145.725	-167.215	271.018	0	48.605	-7.47941	-828.216	-241854	-28709.1	-9893.21	-33.1851	291.535	0
5	9	48.7275	-0.3691	-355.54	-22991.9	-30938.7	1062.92	144.981	318.668	0	-0.178275	-7.17599	-472.718	-8056.13	30571.2	-146.055	-167.329	271.042	0	48.5492	-7.54509	-828.258	-241829	-28774.7	-9866.1	-33.2657	291.486	0
6	0	48.8383	-0.368758	-355.402	-22991.7	-30919.9	1064.97	145	318.692	0	-0.179473	-7.28718	-472.899	-8041.93	30595.3	-146.445	-167.303	271.006	0	48.6589	-7.65594	-828.301	-241830	-28810.6	-9866.68	-33.3019	291.467	0
6	1	48.6939	-0.369338	-355.908	-22997.5	-30918.6	1099.15	145.128	318.616	0	-0.179684	-7.37533	-472.713	-8055.13	30566.7	-146.768	-167.338	271.04	0	48.5143	-7.74467	-828.622	-241935	-28671.3	-9775.9	-33.1281	291.475	0
6	2	48.8719	-0.36894	-355.63	-22996.5	-30954.1	1055.99	144.96	318.664	0	-0.178978	-7.20987	-473.221	-8034.02	30587.2	-146.251	-167.364	270.977	0	48.6929	-7.57881	-828.852	-241963	-28875.5	-9901.94	-33.357	291.438	0
6	3	48.7949	-0.370016	-356.137	-23067.2	-30969.7	1065.13	145.04	318.771	0	-0.17909	-7.14304	-473.039	-8003.18	30605	-145.872	-167.301	270.919	0	48.6158	-7.51305	-829.177	-242083	-28710.4	-9888.44	-33.1485	291.471	0
6	4	48.8614	-0.369524	-355.724	-23057.2	-30944.4	1055.89	145.01	318.818	0	-0.178436	-7.04337	-472.859	-8008.29	30622.8	-145.458	-167.239	270.936	0	48.6829	-7.41289	-828.582	-241923	-28724.6	-9937.14	-33.1854	291.492	0
6	5	48.8501	-0.369394	-355.952	-23047.8	-30892.5	1053.92	145.212	318.75	0	-0.178625	-7.16493	-472.718	-8036.9	30589.8	-145.952	-167.29	271.002	0	48.6714	-7.53433	-828.67	-241970	-28619.9	-9908.69	-33.0557	291.512	0
6	6	48.8722	-0.369188	-355.631	-23029	-30940.1	1051.42	144.999	318.755	0	-0.180451	-7.36331	-472.209	-8007.95	30587.8	-146.451	-167.224	270.959	0	48.6917	-7.7325	-827.84	-241720	-28627.8	-9871.19	-33.0962	291.492	0
6	7	48.7941	-0.369175	-355.266	-23020.3	-30955.5	1089.51	144.867	318.797	0	-0.179632	-7.29777	-472.669	-8033.12	30589.7	-146.404	-167.283	270.995	0	48.6145	-7.66695	-827.936	-241758	-28828.4	-9828.47	-33.3399	291.507	0
6	8	48.8166	-0.369164	-355.677	-23024.3	-30905	1051.6	145.109	318.734	0	-0.17963	-7.20861	-472.579	-7992.06	30593.8	-145.961	-167.262	270.912	0	48.6369	-7.57778	-828.256	-241798	-28658.7	-9892.15	-33.1207	291.448	0
6	9	48.8166	-0.369751	-356.275	-23048.9	-30928.6	1090.04	145.189	318.694	0	-0.179001	-7.23065	-472.806	-8016.57	30538.8	-146.219	-167.409	270.955	0	48.6376	-7.6004	-829.081	-242058	-28650.9	-9849.21	-33.0788	291.47	0
7	0	48.8834	-0.369522	-355.861	-23062.1	-30922	1069.45	145.107	318.806	0	-0.178987	-7.1302	-472.487	-7975.04	30551.3	-145.661	-167.339	270.879	0	48.7044	-7.49972	-828.348	-241839	-28657.2	-9909.28	-33.1114	291.469	0
7	1	48.9279	-0.369378	-355.677	-23061.8	-30933.2	1058.02	145.03	318.839	0	-0.178171	-7.08697	-472.49	-8029.03	30588.8	-145.592	-167.261	270.993	0	48.7497	-7.45635	-828.168	-241845	-28676.4	-9942.07	-33.1393	291.542	0
7	2	48.8832	-0.369326	-356.135	-23029.4	-30917.3	1060.73	145.187	318.665	0	-0.178606	-7.16348	-472.258	-8013.84	30545.9	-145.81	-167.319	270.969	0	48.7046	-7.53281	-828.393	-241858	-28541.8	-9910.49	-32.9696	291.474	0
7	3	48.7944	-0.369318	-355.815	-23015.2	-30946.2	1051.67	145.027	318.683	0	-0.180171	-7.28522	-472.164	-7981.45	30573.5	-146.114	-167.248	270.904	0	48.6143	-7.65454	-827.979	-241711	-28591.8	-9868.89	-33.0511	291.437	0
7	4	48.8499	-0.369309	-355.632	-23024.9	-30971.9	1071.63	144.91	318.744	0	-0.179466	-7.31909	-472.53	-8029.62	30542.5	-146.482	-167.364	270.993	0	48.6704	-7.6884	-828.162	-241817	-28777.6	-9855.78	-33.2661	291.498	0
7	5	48.9501	-0.36949	-355.907	-23076.1	-30906.1	1073.87	145.162	318.838	0	-0.18018	-7.29727	-472.851	-7986.49	30571.6	-146.366	-167.346	270.89	0	48.7699	-7.66676	-828.758	-241976	-28697.2	-9883.79	-33.1406	291.481	0
7	6	48.9947	-0.369523	-355.952	-23071.4	-30954.7	1058.03	145.037	318.816	0	-0.178323	-7.14233	-472.58	-8036.09	30570.6	-145.851	-167.311	271.005	0	48.8163	-7.51186	-828.532	-241956	-28676.2	-9946.57	-33.1212	291.545	0
7	7	48.9282	-0.369793	-356.09	-23085.5	-30937.9	1060.43	145.118	318.831	0	-0.177713	-7.13097	-472.534	-8054.47	30537.8	-145.874	-167.374	271.045	0	48.7505	-7.50076	-828.624	-242012	-28646.5	-9930.11	-33.085	291.58	0
7	8	48.9058	-0.369436	-355.449	-23066.5	-30955.6	1060.11	144.911	318.894	0	-0.178361	-7.07533	-472.489	-8000.65	30570	-145.505	-167.3	270.933	0	48.7274	-7.44477	-827.938	-241762	-28769.4	-9936.91	-33.2621	291.524	0
7	9	48.8941	-0.368948	-355.722	-23001	-30945.7	1051.52	145.006	318.66	0	-0.179465	-7.23006	-472.165	-8002.48	30573.5	-145.966	-167.248	270.948	0	48.7147	-7.59901	-827.887	-241692	-28617.7	-9907.02	-33.0807	291.449	0
8	0	48.9279	-0.369222	-355.63	-23033.5	-30975.2	1037.78	144.901	318.768	0	-0.180296	-7.35183	-472.254	-7998.28	30560	-146.43	-167.289	270.936	0	48.7476	-7.72105	-827.884	-241725	-28703.7	-9901.67	-33.1832	291.483	0
8	1	48.9505	-0.36969	-355.998	-23066.6	-30990.3	1040.09	144.948	318.794	0	-0.180796	-7.37317	-471.932	-7971.27	30553.9	-146.359	-167.258	270.891	0	48.7697	-7.74286	-827.929	-241744	-28566.6	-9900.11	-33.0137	291.489	0
8	2	48.9498	-0.369295	-356.272	-23024.9	-30943.5	1058.44	145.146	318.627	0	-0.180094	-7.26395	-472.395	-7994.33	30607.1	-146.098	-167.209	270.923	0	48.7697	-7.63325	-828.667	-241908	-28509.5	-9906.52	-32.9166	291.433	0
8	3	48.9501	-0.369633	-356.273	-23062.5	-30938.9	1074.06	145.16	318.733	0	-0.177252	-6.99774	-472.353	-8030.19	30555.5	-145.273	-167.312	271	0	48.7728	-7.36737	-828.627	-241959	-28546.8	-9952.16	-32.9629	291.523	0
8	4	48.9502	-0.369827	-356.548	-23067.4	-30948.3	1071.95	145.2	318.696	0	-0.178288	-7.1084	-472.214	-8020.76	30569	-145.592	-167.265	270.985	0	48.7719	-7.47823	-828.762	-241994	-28446.8	-9928.96	-32.8365	291.512	0
8	5	48.8834	-0.369532	-356.044	-23048.2	-30940.7	1062.82	145.099	318.734	0	-0.179674	-7.21896	-472.303	-7983.32	30574	-145.921	-167.266	270.903	0	48.7038	-7.5885	-828.347	-241837	-28568.5	-9895.58	-33.0039	291.462	0
8	6	48.8722	-0.369628	-356.09	-23030.1	-31005.7	1078.53	144.927	318.675	0	-0.179921	-7.27499	-472.531	-7999.56	30584.4	-146.212	-167.275	270.929	0	48.6923	-7.64461	-828.622	-241907	-28664.5	-9864.39	-33.11	291.447	0
8	7	48.9612	-0.369632	-356.364	-23057.7	-30948.7	1062.86	145.154	318.703	0	-0.179831	-7.28451	-472.162	-7977.03	30522.2	-146.155	-167.357	270.895	0	48.7814	-7.65414	-828.526	-241889	-28525.2	-9900.48	-32.9399	291.458	0
8	8	48.7948	-0.369954	-356.32	-23053.2	-30965.1	1063.05	145.098	318.698	0	-0.179202	-7.27373	-471.843	-8023.22	30539.6	-146.113	-167.276	271.004	0	48.6156	-7.64368	-828.163	-241838	-28453.5	-9860.64	-32.8759	291.525	0
8	9	48.8615	-0.369916	-356.183	-23067.3	-30972.6	1069.56	145.043	318.762	0	-0.177609	-7.12	-472.534	-8058.65	30542.4	-145.839	-167.365	271.054	0	48.6839	-7.48992	-828.717	-242021	-28652.2	-9906.56	-33.0917	291.559	0
9	0	48.9502	-0.369767	-355.999	-23076.7	-30976.3	1085.03	144.988	318.822	0	-0.177964	-7.07514	-472.214	-8024.06	30564.3	-145.486	-167.275	270.992	0	48.7722	-7.44491	-828.214	-241866	-28606.9	-9923.49	-33.0517	291.552	0
9	1	48.9393	-0.370061	-356.64	-23076.8	-30975.9	1067.44	145.145	318.706	0	-0.179415	-7.19655	-472.257	-7982.47	30559.8	-145.841	-167.29	270.903	0	48.7599	-7.56661	-828.897	-242004	-28471.6	-9910.44	-32.8619	291.471	0
9	2	48.8943	-0.369552	-356.273	-23020.8	-30997.3	1076.41	144.996	318.616	0	-0.179725	-7.30654	-472.115	-7987.37	30508	-146.259	-167.38	270.918	0	48.7146	-7.67609	-828.388	-241828	-28595.4	-9864.96	-33.0336	291.432	0
9	3	48.8833	-0.369791	-356.595	-23035.1	-30978.2	1085.59	145.128	318.598	0	-0.180459	-7.3736	-471.933	-7999.24	30563.4	-146.415	-167.238	270.95	0	48.7028	-7.74339	-828.527	-241893	-28403.9	-9837.57	-32.7971	291.457	0
9	4	48.8839	-0.370082	-356.457	-23085.8	-30950.2	1056.19	145.173	318.764	0	-0.179357	-7.21886	-472.485	-7988.12	30542.1	-146.017	-167.359	270.907	0	48.7046	-7.58894	-828.942	-242031	-28556	-9902.67	-32.9655	291.486	0
9	5	48.917	-0.370011	-356.549	-23072.3	-30970.3	1076.43	145.139	318.71	0	-0.179634	-7.26291	-472.164	-7994.64	30550.2	-146.089	-167.297	270.932	0	48.7374	-7.63292	-828.713	-241967	-28474.3	-9880.69	-32.8735	291.488	0
9	6	48.8726	-0.369857	-356.411	-23057.8	-30959	1056.25	145.137	318.694	0	-0.178458	-7.11917	-472.35	-8002.63	30546.2	-145.652	-167.331	270.942	0	48.6941	-7.48903	-828.761	-241967	-28540	-9922.46	-32.9536	291.478	0
9	7	48.9726	-0.369854	-356.045	-23085.9	-30986.6	1075.99	144.97	318.84	0	-0.178044	-7.05228	-472.396	-7985.96	30522.9	-145.412	-167.387	270.905	0	48.7945	-7.42213	-828.441	-241894	-28690.8	-9943.41	-33.1431	291.507	0
9	8	48.8945	-0.369721	-356.228	-23044.3	-30988	1085.32	145.011	318.69	0	-0.17977	-7.20762	-472.394	-7964.24	30560.3	-145.877	-167.308	270.859	0	48.7147	-7.57734	-828.622	-241883	-28608.2	-9878.48	-33.0405	291.422	0
9	9	48.8727	-0.370066	-356.229	-23072.1	-31005.8	1071.74	144.961	318.768	0	-0.181415	-7.41779	-472.114	-7959.01	30568.7	-146.527	-167.252	270.858	0	48.6913	-7.78786	-828.343	-241844	-28552.3	-9838.5	-32.9846	291.462	0
10	0	48.8281	-0.370035	-356.458	-23053.5	-30989.9	1069.78	145.062	318.674	0	-0.180917	-7.34046	-472.299	-7955.75	30569.3	-146.295	-167.275	270.845	0	48.6472	-7.7105	-828.757	-241924	-28523.2	-9846.8	-32.9358	291.417	0
10	1	48.9062	-0.370094	-356.229	-23085.9	-30997.8	1062.68	144.983	318.807	0	-0.179333	-7.27428	-472.347	-8013.82	30537	-146.24	-167.35	270.966	0	48.7269	-7.64438	-828.575	-241966	-28631.1	-9889.33	-33.0691	291.534	0
10	2	48.8836	-0.370072	-356.458	-23077.2	-30964.2	1092.15	145.134	318.74	0	-0.178778	-7.14039	-472.027	-7980.36	30526.2	-145.606	-167.33	270.907	0	48.7048	-7.51046	-828.486	-241895	-28480.6	-9884.41	-32.8914	291.487	0
10	3	48.8616	-0.369925	-356.091	-23081.1	-30949.2	1067.26	145.086	318.818	0	-0.178859	-7.17374	-472.027	-7991.08	30526.2	-145.749	-167.33	270.929	0	48.6827	-7.54367	-828.118	-241818	-28549.5	-9896.11	-32.9905	291.521	0
